OBJECTID,ADDRESS,CORNERSIDE
282,"4500 Frankford Ave.
",NE
283,"4500 Frankford Ave.
",SW
284,4500 Frankford Ave.,SE
285,4600 Frankford Ave.,NW
286,4600 Frankford Ave.,NE
287,4600 Frankford Ave.,SW
288,4600 Frankford Ave.,SE
289,4700 Frankford Ave.,NW
290,4700 Frankford Ave.,NE
291,4700 Frankford Ave.,NW
292,4800 Frankford Ave.,NE
293,4800 Frankford Ave.,NW
294,4800 Frankford Ave.,SW
295,"4800 Frankford Ave.
",SE
296,4900 Frankford Ave., 
297,5000 Frankford Ave.,NE
298,5000 Frankford Ave.,NW
299,5200 Frankford Ave.,NE
300,5200 Frankford Ave.,SE
301,5300 Frankford Ave. By bridge,NE
302,5300 Frankford Ave.,SE
303,Erie & Whitaker Ave.,SE
304,Erie & Whitaker Ave.,NE
305,5th & Erie Ave.,NW
306,5th & Erie Ave.,SE
307,6th & Erie Ave.,NE
308,6th & Erie Ave.,SW
309,Erie & Rising Sun Ave.,SW
310,Broad & Lindley Ave.,NE
311,Broad & Olney Ave.,NE
312,Olney & Park Ave.,SE
313,Olney & Park Ave.,NW
314,Olney btw. Park  Ave. & 13th,SW
315,Olney btw. Park  Ave. & 13th,SE
316,Germantown & Allegheny Ave.,NE
317,Front & Luzerne St.,NW
318,Rising Sun Ave. & Gale St.,NW
319,5th & Hunting Park Ave.,NW
320,5th & Bristol St.,NW
321,5th & Cayuga St.,N W
322,5th & Cayuga St.,NE
323,5th & Cayuga St.,SW
324,5th & Cayuga St.,SE
325,5th & Annsbury St.,NW
326,"5th & Raymond St.
", 
327,5th & Courtland St.,NW
328,Torresdale & Comly St.,SW
329,Torresdale & Howell St.,NW
330,Torresdale & Howell St.,SW
331,Torresdale & VanKirk St.,NE
332,Torresdale & VanKirk St.,NW
333,Torresdale & VanKirk St.,SW
339,3000 Kensington Ave.,NE
340,"800 E. Allegheny Ave. By Reach St
",SW
341,4100 Frankford Ave. On Kingston & Adams,NE
342,4100 Frankford Ave. On Kingston & Adams,NW
343,4300 Frankford Ave.,NW
344,4300 Frankford Ave.,NW
345,4700 Frankford Ave.,SW
346,5000 Frankford Ave.,NE
347,5000 Frankford Ave.,SE
348,5200 Frankford Ave.,SW
349,"5300 Frankford Ave. by granite
",NE
350,"5300 Frankford Ave.
",SE
351,Erie & Rising Sun Ave.,NE
352,5th & Bristol St.,SE
353,Frankford btw. Cottman & Ryan,SW
355,Rising Sun & VanKirk St.,NW
356,Rising Sun & Cottman Ave.,SE
357,Rising Sun & Cottman Ave.,SE
358,Rising Sun & Cottman Ave,NW
359,Castor & Tyson Ave.,SE
360,Summerdale Ave. & Pratt St.,NE
361,Torresdale & Comly St.,NW
362,2802 Cottman Ave.,SE
363,5300 Oxford Ave,NW
364,5251 Oxford Ave,NE
365,Frankford Ave & Harrison St,SE
366,4829 Frankford Ave,NE
367,4829 Frankford Ave,SE
368,Rising Sun Ave & Fanshawe St,SE
373,Rhawn St & Veree Rd,SE
374,3300 Kensington Ave,NE
375,5th & Wyoming Ave,SE
376,5th & Annesbury,SE
377,Germantown Ave & Hunting Park,NW
378,Germantown Ave & Hunting Park,SW
379,Germantown Ave & Staub St,SE
380,Dounton St & Germantown Ave,NE
382,2408 Montgomery Ave.,SE
383,2134 Cecil B. Moore Ave.For Ridge Ave&oxford,S
384,1101 W. Allegheny Ave.,NE
385,200 Fountain St.,NE
386,"800 Germantown Ave.
800 Germantown Ave.
",NW
