the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng
0101000020E61000001E4E780493C952C06E98912344F94340,0101000020110F0000246D8EC08BE95FC1AA0820176F885241,282,172025,Sw 5th/Walnut,no,39.94739193543579,-75.14959823368596
0101000020E61000005D3777412ECB52C04C811DC43CFB4340,0101000020110F0000E4A3204846EC5FC1052EB9319E8A5241,283,172026,Sw 22nd/Pennsylvania,no,39.96279193344762,-75.17469822542394
0101000020E6100000873D51ECFDC852C069E437C892F94340,0101000020110F000089BD1B808EE85FC1D3971037C6885241,284,172027,Se Penns Landing/Columbus Blvd,no,39.94979193429101,-75.14049823697688
0101000020E61000005DD2ACC546C952C02ED7F09E19FA4340,0101000020110F0000C04CEB3D0AE95FC158C96C9A5B895241,285,172028,Sw 3rd/Race,no,39.95390688667099,-75.14494459035036
0101000020E6100000B572E0D83CCD52C053BC2C44FBF74340,0101000020110F000072A614C0C4EF5FC19BD43BC802875241,286,172029,4910 Botanic Ave - Repair shop /Under repair,no,39.93735553917272,-75.20683881682164
0101000020E6100000809B010770C952C0D5B2107AA4F84340,0101000020110F00006027675150E95FC1AB96DA37BE875241,287,172030,Nw 3rd/Lombard,no,39.9425194341217,-75.14746260792708
0101000020E61000003C63EC221ECA52C0530509F1EDF84340,0101000020110F0000C3134A0F78EA5FC130EEA1990F885241,288,172031,Ne 10th/Pine,no,39.94476139965504,-75.15808938107233
0101000020E6100000B9D073D713C952C0D52391D0D3F94340,0101000020110F000004972FBBB3E85FC1B4FD83430E895241,289,172032,Nw Front/Arch,no,39.951776572102666,-75.14183603582468
0101000020E6100000B5E34D420CCA52C02C95C67115FB4340,0101000020110F000046F470B159EA5FC11FF1849F728A5241,290,172033,Se Ridge/Spring Garden,no,39.96159193226262,-75.15699823004145
0101000020E610000001CFA33E25C952C09C567441EBF94340,0101000020110F0000FD27C54AD1E85FC13432F03B28895241,291,172035,Se 2nd/Elfreths Alley,no,39.95249193363745,-75.14289823529181
0101000020E61000008D64780493C952C0302FABCA2CFA4340,0101000020110F00003F938EC08BE95FC1F6A2E4D770895241,292,172036,Sw 6th/Race,no,39.9544919334279,-75.14959823376758
0101000020E61000000DB421F9B2C952C0EBE5E42DFAF94340,0101000020110F00003BC53B08C2E95FC1122BAAC438895241,293,172037,"7th & Arch, W (Not at Location-Unknown)",no,39.95294736553827,-75.15154865542736
0101000020E6100000AF1B79A775CA52C0E21C461058F94340,0101000020110F0000A6EAABB70CEB5FC1F2FBDC2985885241,294,172038,SW Juniper/ Locust,no,39.94799998687246,-75.1634310419747
0101000020E6100000BDC1C14223CB52C0287CAC3889004440,0101000020110F0000A4B20F9B33EC5FC1C7C2A3B57D905241,295,172039,Sw 27th/Alleghney,yes,40.00418766424292,-75.17402714654504
0101000020E61000000AB252A1A4CA52C00B56D77340FA4340,0101000020110F00007DAFC9825CEB5FC1190765A086895241,296,172041,Nw 16th/Parkway,no,39.955091934341986,-75.16629822803239
